st_name,cofid,gas-ads
linker110_C_linker2_C_mdf_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1ccc(C)c(O)c1&&mdf.cat0,0.6754455693
linker108_N_linker10_CH_tcb_relaxed_interp_2,Nc1cc(N)c2ccc3c(N)cc(N)c4ccc1c2c43.[CH]c1ccc([CH])c([N+](=O)[O-])c1[N+](=O)[O-]&&tcb.cat1,0.9434316474
linker99_C_linker53_C_kgm_relaxed,CC1(C)C=C(c2ccccc2)CC(C)(C)C1.CCc1nc2c(C)ccc(C)c2nc1CC&&kgm.cat0,1.6949231336
linker106_C_linker29_C_qtz_relaxed_interp_2,Cc1cc(-c2cc(C)c(N)c(C)c2N)c(N)c(C)c1N.Cc1cc(N)c(-c2cc([N+](=O)[O-])c(C)cc2N)cc1[N+](=O)[O-]&&qtz.cat1,1.8488777915
linker100_C_linker29_C_qtz_relaxed_interp_2,Cc1cc(C)c(O)c(-c2cc(C)cc(C)c2O)c1.Cc1cc(N)c(-c2cc([N+](=O)[O-])c(C)cc2N)cc1[N+](=O)[O-]&&qtz.cat1,1.9031022545
linker103_C_linker65_C_dia_relaxed_interp_3,Cc1ccc2c(c1)C1(c3cc(C)ccc3-2)c2cc(C)ccc2-c2ccc(C)cc21.Cc1nc(C#N)c(C)nc1C#N&&dia.cat2,1.8799603906
linker108_CH_linker2_N_tcb_relaxed_interp_2,[CH]c1cc([CH])c2ccc3c([CH])cc([CH])c4ccc1c2c43.Nc1ccc(N)c(O)c1&&tcb.cat1,1.5632084875
linker100_C_linker3_C_tcb_relaxed,Cc1cc(C)c(O)c(-c2cc(C)cc(C)c2O)c1.Cc1ccc(C)c(C)c1&&tcb.cat0,1.4585463459
linker108_CH_linker68_N_tcb_relaxed_interp_2,[CH]c1cc([CH])c2ccc3c([CH])cc([CH])c4ccc1c2c43.Nc1cnc(N)c([N+](=O)[O-])n1&&tcb.cat1,1.0256936249
linker105_C_linker4_C_lvt_relaxed_interp_3,Cc1cc(-c2cc(C)c(O)c(C)c2)cc(C)c1O.Cc1ccc(C)c([N+](=O)[O-])c1&&lvt.cat2,1.7058161146
linker105_C_linker81_C_lvt_relaxed_interp_3,Cc1cc(-c2cc(C)c(O)c(C)c2)cc(C)c1O.Cc1ccc(C)nn1&&lvt.cat2,1.9071743926
linker110_CO_linker32_NH_qtz_relaxed_interp_2,O=CC12CC3(C=O)CC(C=O)(C1)CC(C=O)(C2)C3.[NH]c1cnc(-c2ncc([NH])cc2N)c(N)c1&&qtz.cat1,2.7246834533
linker110_C_linker61_C_unh_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1cnc(C)c(N)n1&&unh.cat0,2.8792675801
linker110_NH_linker4_CH2_unj_relaxed,[NH]C12CC3([NH])CC([NH])(C1)CC([NH])(C2)C3.[CH2]c1ccc([CH2])c([N+](=O)[O-])c1&&unj.cat0,2.9221541677
linker105_C_linker26_C_lvt_relaxed,Cc1cc(-c2cc(C)c(O)c(C)c2)cc(C)c1O.Cc1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1&&lvt.cat0,2.7559563813
linker104_C_linker62_C_lcv_relaxed_interp_2,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.Cc1cnc(C)c(C#N)n1&&lcv.cat1,2.4633425634
linker105_CH2_linker75_NH_qtz_relaxed,[CH2]c1cc(-c2cc([CH2])c(O)c([CH2])c2)cc([CH2])c1O.[NH]c1cnc([NH])c(C(=O)[O-])n1&&qtz.cat0,2.898440808
linker109_N_linker11_CH_qzd_relaxed,NC(N)(N)N.[CH]c1c(N)c(N)c([CH])c(N)c1N&&qzd.cat0,2.9514237753
linker110_C_linker24_C_sra_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1ccc(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])cc1&&sra.cat0,2.9287937669
