name,LCD_x_[A],LCD_y_[A],LCD_z_[A],GCD_x_[A],GCD_y_[A],GCD_z_[A],PLD_x_[A],PLD_y_[A],PLD_z_[A],unitcell_vol_[Aˆ3],ASA_[mˆ2/g],AV_A^3,AV_Volume_fraction,node_connectivity,linker_length_[A],node_length_[A],linker_mass_[amu],node_mass_[amu],node_metal_mass_[amu],topology,cell_a_length_[A],cell_b_length_[A],cell_c_length_[A],alpha_[deg],beta_[deg],gamma_[deg],density,volume,number_of_vertices,number_of_edges,number_of_carbons_per_primitive_cell,number_of_hydrogens_per_primitive_cell,number_of_nitrogens_per_primitive_cell,number_of_oxygens_per_primitive_cell,formula,kx,ky,kz
SR_buh_v1-4c_1anC_Ch_v2-12c_Eu_1_Ch_v3-12c_Eu_1_Ch_1DoU_Ch_1TrU_Ch_1x1x1,7.32017,3.2603400000000002,7.22208,3.66307,3.66307,7.05647,7.05647,3.36571,7.0516,15121.1,1639.27,1947.29,0.12878,12,9.168037557019547,5.743782453614081,290.182,132.024,151.96,buh,24.95127,24.68848,24.57699,88.25461999999999,88.3258,91.43469,1.68182,15121.07053,792.0,1447.0,312,176,0,256,Eu48 H176 C312 O256,0.23446999999999998,0.24741,0.20465999999999998
SR_umy_v1-4c_In_1_Ch_2B_4H_Ch_1x1x1,23.29711,18.829,22.86655,21.4118,18.829,23.29711,23.14838,21.4118,23.14838,69523.1,5476.45,57440.0,0.8262,4,11.597141975032425,0.0,240.213,114.8,114.82,umy,39.01745,39.04351,52.528330000000004,89.75114,90.06166999999999,119.67768999999998,0.17060999999999998,69523.07705,636.0,1024.0,336,192,0,96,In12 H192 C336 O96,0.07435,0.05882999999999999,0.07087
SR_usf_v1-4c_Ni_1_Ch_2B_1DoU_Ch_1x1x1,26.237679999999997,10.43568,26.203670000000002,22.050539999999998,10.49893,26.1482,25.790760000000002,22.050539999999998,25.790760000000002,97522.9,5820.37,76809.0,0.7876,4,13.910754119882073,2.3856245862668772,266.251,117.38600000000001,58.693000000000005,usf,57.01497,57.018190000000004,34.66153,89.97084,90.0714,120.06248000000001,0.19918,97522.88967,1116.0,1712.0,576,360,0,144,Ni36 H360 C576 O144,0.36796,0.35722,0.51786
SR_whz_v1-6c_Fe_1_Ch_1B_2CH3_Ch_1x1x1,9.52522,5.85644,9.52522,6.61003,6.61003,9.52522,9.52522,5.85644,9.30597,26343.7,3495.56,8605.96,0.32668,6,7.465775231986427,3.3921590986156573,192.169,183.53400000000002,55.845,whz,26.28675,26.36021,38.02239,90.23418000000001,89.18656,89.89523,0.76653,26343.71069,1120.0,1867.0,480,384,0,208,Fe48 H384 C480 O208,0.19735999999999998,0.22551999999999997,0.22246999999999997
SR_wkq_v1-6c_Al_1_Ch_1B_2CN_Ch_2x2x1,8.219710000000001,4.3011,8.1865,6.18016,4.3011,8.195030000000001,7.88806,6.18016,7.88806,70657.4,3165.22,19247.1,0.2724,6,8.008284233871697,3.0909253939933596,214.136,96.945,26.982,wkq,55.14625,55.28845,26.990029999999997,89.57925,90.54365,120.8327,0.8340299999999999,70657.37933,2784.0,3665.0,1440,288,288,624,Al144 H288 C1440 N288 O624,0.49516000000000004,0.40723000000000004,0.37375
SR_ecv_v1-8c_Co_1_Ch_1B_2CN_Ch_2x2x1,6.846489999999999,5.03064,6.64544,5.03064,5.03064,6.769010000000001,6.769010000000001,2.91527,6.7234300000000005,100055.0,2213.87,15720.7,0.15712,12,7.887095211412691,4.002980091240275,214.136,251.731,58.933,ecv,31.76227,37.62145,83.75447,88.90481,90.71939,89.88748000000001,1.17715,100055.36362999999,1232.0,1679.0,640,128,128,272,Co256 H512 C2560 N512 O1088,0.30496,0.16103,0.17609
SR_scu_v1-8c_Co_1_Ch_v2-4c_porphyrin_Ch_2B_2CN_Ch_1x1x2,18.84388,7.389880000000001,18.785610000000002,16.31403,9.831389999999999,18.06616,18.84388,16.31403,18.84388,28510.6,5007.42,17198.8,0.60324,12,28.36730581878154,3.849132149617236,1491.305,251.731,58.933,scu,25.878770000000003,25.798170000000002,43.568459999999995,91.10481999999999,91.01604,78.65285,0.37675,28510.632869999998,578.0,724.0,352,104,80,34,Co8 H104 C352 N80 O34,0.09826,0.10006,0.1372
SR_wmb_v1-6c_Al_1_Ch_1B_2NH2_Ch_2x2x1,13.44259,5.06959,12.75212,11.92313,5.27893,13.13711,13.181029999999998,11.92313,13.181029999999998,46139.8,3724.63,21523.3,0.46648,6,7.367930933424188,3.1022776845782194,194.145,96.945,26.982,wmb,40.82917,41.15466,31.84161,90.20827,89.8636,120.41621,0.58681,46139.78815,1536.0,2275.0,576,432,144,312,Al72 H432 C576 N144 O312,0.14422000000000001,0.16293,0.21700999999999998
SR_ssa_v1-4c_pyrene_Ch_v2-4c_Cu_1_Ch_2B_4H_Ch_1x1x1,34.09912,22.49161,33.98855,31.29823,22.32773,31.69053,34.09868,31.29823,34.09868,76573.4,5936.43,64113.3,0.8372799999999999,4,27.527123475786592,2.3696222552069357,983.04,127.09200000000001,63.54600000000001,ssa,47.20588,47.28941,39.62556,90.01836,89.98276,120.04298,0.14444,76573.35685,696.0,1019.0,408,228,0,48,Cu12 H228 C408 O48,0.12566,0.13424,0.15169000000000002
SR_dnl_v1-4c_porphyrin_Ch_v2-6c_CdZn_1_Ch_v3-3c_triazine_Ch_1B_2NO2_Ch_ntn_edge_1x1x1,9.92365,5.8783900000000004,9.92365,6.361759999999999,5.8783900000000004,9.8668,9.18835,6.361759999999999,9.18835,75594.2,2854.85,16759.2,0.2217,6,33.825600609717824,3.4619009609034133,4671.388,418.579,65.38,dnl,42.00227,42.787890000000004,42.06463,90.22278,90.47796,90.23451999999999,0.96804,75594.22914,3536.0,4718.0,1728,672,480,592,Zn16 Cd48 H672 C1728 N480 O592,0.14357,0.14570999999999998,0.15349000000000002
